Price,Year,Make,Model,Description,Url
"$129,995",1969,Chevrolet,Camaro,"302 DZ V8, 4SPD TRANS, POWER STEERING/BRAKES, VERY NICE & CLEAN IN/OUT, RUNS GR8",streetsideclassics.com/vehicles/7408-cha/1969-chevrolet-camaro-z-28-rs
"$48,995",1969,Chevrolet,Chevelle,"QUALITY RESTO, #'S MATCH 350 V8, 4 SP MANUAL, PS, PB W/4 WHL DISCS, COLD AC!",streetsideclassics.com/vehicles/3539-tpa/1969-chevrolet-chevelle-malibu
"$104,995",1969,Chevrolet,Chevelle,"FUEL INJECTED 383 STROKER V8,TKO600, $22K CUSTOM INTERIOR, GORGEOUS PAINT, WOW!",streetsideclassics.com/vehicles/3668-tpa/1969-chevrolet-chevelle-restomod
"$67,995",1969,Chevrolet,Chevelle,"VERY SHARP! 454 V8, 700R4 AUTO, A/C, PS, PB W/ FRT DISC, GREAT PAINT & INTERIOR!",streetsideclassics.com/vehicles/5627-dfw/1969-chevrolet-chevelle-ss-tribute
"$69,995",1970,Chevrolet,C10,"FUEL INJECTED 5.3L V8, TWIN TURBO, OVERDRIVE, COLD A/C, POWER 4 WHEEL DISC, WOW!",streetsideclassics.com/vehicles/3558-tpa/1970-chevrolet-c10-twin-turbo-restomod
"$54,995",1971,Chevrolet,Corvette,"BELIEVED FACTORY BIG BLOCK CAR, 454 V8, TH400 3SPD AUTO, GR8 COLOR COMBO, SHARP!",streetsideclassics.com/vehicles/7569-cha/1971-chevrolet-corvette-ls5-454-convertible
"$59,995",1972,Chevrolet,C10,"350 V8, 700R4 4SPD AUTO, A/C, POWER STEERING/BRAKE, RUNS/DRIVES WELL, CLEAN RIDE",streetsideclassics.com/vehicles/7558-cha/1972-chevrolet-c10-restomod
"$79,995",1972,Chevrolet,Camaro,,streetsideclassics.com/vehicles/7607-cha/1972-chevrolet-camaro-ls3-restomod
"$123,995",1973,Ford,Bronco,"MUST SEE BRONCO RESTOMOD, FUEL INJECTED 351 V8, 5-SPEED MANUAL, 4X4, LIFTED!!!",streetsideclassics.com/vehicles/6796-atl/1973-ford-bronco-4x4-restomod
"$72,995",1976,Chevrolet,K10,"350 V8, TH350, POWER FRONT DISC, 4X4, CLEAN RESTO, LOOK UNDERNEATH, TMI INTERIOR",streetsideclassics.com/vehicles/3641-tpa/1976-chevrolet-k10
"$69,995",1978,Chevrolet,Corvette,"COLLECTOR-GRADE, ONLY 7 MILES, NEVER TITLED, ORIG 350 V8 & TH350 3SPD AUTO, WOW!",streetsideclassics.com/vehicles/7548-cha/1978-chevrolet-corvette-l-48-pace-car
"$66,995",1978,Chevrolet,K10,"350 V8, 4 SPEED MANUAL, POWER FRONT DISC, POWER STEERING, REAL K10, LIFTED, 33'S",streetsideclassics.com/vehicles/3567-tpa/1978-chevrolet-k10-silverado-4x4
"$67,995",1960,Chevrolet,Bel Air,"COOL PATINA BUILD! 5.3L VORTEC V8 W/ 4L60E SWAP, PS/PDB, AIR RIDE, GR8 INTERIOR!",streetsideclassics.com/vehicles/5619-dfw/1960-chevrolet-bel-air-restomod
"$32,995",1960,Chevrolet,C10,"COOL CUSTOM C10, SMALL BLOCK 350CI MOTOR, 5-SPEED MANUAL, POWER STEER & BRAKES",streetsideclassics.com/vehicles/3208-nsh/1960-chevrolet-c10-restomod
"$122,995",1960,Chevrolet,Corvette,"LOW MILEAGE RESTO, LONG OWNERSHIP HISTORY, 283CI V8, 4SPD TRANS, RUNS/DRIVES GR8",streetsideclassics.com/vehicles/7343-cha/1960-chevrolet-corvette
"$99,995",1960,Chevrolet,Corvette,"NUMBERS MATCHING 283 V8, PERIOD CORRECT FUEL INJECTION, 4 SPEED, ERMINE WHITE!",streetsideclassics.com/vehicles/3444-tpa/1960-chevrolet-corvette-convertible
