Year,Make,Price
1946,Dodge,"$31,995"
1946,Ford,"$39,995"
1946,Ford,"$33,995"
1946,Ford,"$39,995"
1947,Cadillac,"$58,995"
1947,Chevrolet,"$28,995"
1947,Chevrolet,"$39,995"
1947,Dodge,"$14,995"
1947,Dodge,"$19,995"
1947,Ford,"$37,995"
1947,Lincoln,"$29,995"
1947,Oldsmobile,"$44,995"
1948,Cadillac,"$18,995"
1948,Cadillac,"$28,995"
1948,Fiat,"$74,995"
1948,Ford,"$34,995"
1948,GMC,"$42,995"
1948,Lincoln,"$24,995"
1948,Willys,"$27,995"
1948,Willys,"$24,995"
1949,Ford,"$29,995"
1949,Ford,"$53,995"
1949,Ford,"$67,995"
1949,Mercury,"$44,995"
1949,Mercury,"$74,995"
1949,Studebaker,"$19,995"
1950,Chevrolet,"$57,995"
1950,Ford,"$27,995"
1950,Ford,"$34,995"
1950,Ford,"$34,995"
1950,Ford,"$27,995"
1950,Ford,"$27,995"
1950,Ford,"$47,995"
1950,Mercury,"$47,995"
1950,Plymouth,"$14,995"
1950,Willys,"$28,995"
1951,Chevrolet,"$34,995"
1951,Chevrolet,"$49,995"
1951,Chevrolet,"$39,995"
1951,Chevrolet,"$26,995"
1951,Chevrolet,"$29,995"
1951,Ford,"$81,995"
1951,Ford,"$56,995"
1951,Ford,"$45,995"
1951,Ford,"$46,995"
1951,Ford,"$31,995"
1951,Ford,"$79,995"
1951,Mercury,"$54,995"
1951,Mercury,"$64,995"
1951,MG,"$27,995"
1951,Plymouth,"$32,995"
1951,Willys,"$19,995"
1952,Chevrolet,"$40,995"
1952,International,"$43,995"
1952,Kurtis Kraft,"$16,995"
1952,Lincoln,"$48,995"
1952,MG,"$28,995"
1952,MG,"$16,995"
1952,Oldsmobile,"$16,995"
1952,Studebaker,"$22,995"
1953,Chevrolet,"$37,995"
1953,Chevrolet,"$52,995"
1953,Chevrolet,"$29,995"
1953,Chevrolet,"$18,995"
1953,Chevrolet,"$45,995"
1953,Chrysler,"$42,995"
1953,Fiat,"$17,995"
1953,Ford,"$34,995"
1953,Ford,"$28,995"
1953,Ford,"$17,995"
1953,Ford,"$44,995"
1953,Ford,"$29,995"
1953,Ford,"$14,995"
1953,International,"$31,995"
1953,Studebaker,"$65,995"
1954,Chevrolet,"$42,995"
1954,Chevrolet,"$47,995"
1954,Chevrolet,"$29,995"
1954,Chevrolet,"$52,995"
1954,Chevrolet,"$52,995"
1954,Chevrolet,"$37,995"
1954,Chevrolet,"$33,995"
1954,Chevrolet,"$43,995"
1954,Ford,"$37,995"
1954,Ford,"$57,995"
1954,GMC,"$29,995"
1954,MG,"$63,995"
1954,Studebaker,"$33,995"
1954,Willys,"$34,995"
1955,Buick,"$26,995"
1955,Chevrolet,"$57,995"
1955,Chevrolet,"$47,995"
1955,Chevrolet,"$39,995"
1955,Chevrolet,"$89,995"
1955,Chevrolet,"$72,995"
1955,Chevrolet,"$33,995"
1955,Chevrolet,"$62,995"
1955,Chevrolet,"$64,995"
1955,Chevrolet,"$84,995"
1955,Chevrolet,"$28,995"
1955,Chevrolet,"$52,995"
1955,Chevrolet,"$84,995"
1955,Chevrolet,"$119,995"
1955,Chevrolet,"$76,995"
1955,Dodge,"$29,995"
1955,Dodge,"$28,995"
1955,Ford,"$39,995"
1955,Ford,"$28,995"
1955,Ford,"$32,995"
1955,Ford,"$52,995"
1955,Ford,"$29,995"
1955,Ford,"$42,995"
1955,Ford,"$41,995"
1955,Ford,"$19,995"
1955,GMC,"$35,995"
1955,Lincoln,"$33,995"
1955,Oldsmobile,"$32,995"
1955,Plymouth,"$28,995"
1955,Studebaker,"$17,995"
1956,Buick,"$18,995"
1956,Chevrolet,"$47,995"
1956,Chevrolet,"$52,995"
1956,Chevrolet,"$99,995"
1956,Chevrolet,"$89,995"
1956,Chevrolet,"$49,995"
1956,Chevrolet,"$59,995"
1956,Chevrolet,"$57,995"
1956,Chevrolet,"$74,995"
1956,Dodge,"$34,995"
1956,Ford,"$35,995"
1956,Ford,"$38,995"
1956,Ford,"$32,995"
1956,Ford,"$94,995"
1956,Ford,"$58,995"
1956,Ford,"$32,995"
1956,Ford,"$23,995"
1956,Ford,"$19,995"
1956,Ford,"$33,995"
1956,Ford,"$49,995"
1956,Ford,"$19,995"
1956,Ford,"$38,995"
1956,Ford,"$62,995"
1956,Ford,"$41,995"
1956,Ford,"$49,995"
1956,Lincoln,"$59,995"
1956,Mercury,"$29,995"
1956,Oldsmobile,"$38,995"
1956,Oldsmobile,"$26,995"
1956,Oldsmobile,"$45,995"
1956,Pontiac,"$59,995"
1956,Volkswagen,"$28,995"
1956,Willys,"$19,995"
1957,Chevrolet,"$31,995"
1957,Chevrolet,"$39,995"
1957,Chevrolet,"$75,995"
1957,Chevrolet,"$29,995"
1957,Chevrolet,"$31,995"
1957,Chevrolet,"$31,995"
1957,Chevrolet,"$108,995"
1957,Chevrolet,"$97,995"
1957,Chevrolet,"$64,995"
1957,Chevrolet,"$49,995"
1957,Chevrolet,"$49,995"
1957,Chevrolet,"$62,995"
1957,Chevrolet,"$79,995"
1957,Chevrolet,"$74,995"
1957,Chevrolet,"$79,995"
1957,Chevrolet,"$118,995"
1957,Chevrolet,"$154,995"
1957,Chevrolet,"$81,995"
1957,Chevrolet,"$29,995"
1957,Ford,"$36,995"
1957,Ford,"$29,995"
1957,Ford,"$36,995"
1957,Ford,"$37,995"
1957,Ford,"$34,995"
1957,Ford,"$61,995"
1957,Ford,"$51,995"
1957,Ford,"$45,995"
1957,Ford,"$32,995"
1957,Ford,"$39,995"
1957,Ford,"$38,995"
1957,Ford,"$49,995"
1957,Ford,"$49,995"
1957,Ford,"$45,995"
1957,Ford,"$42,995"
1957,Ford,"$43,995"
1957,Ford,"$19,995"
1957,MG,"$49,995"
1957,Nash,"$16,995"
1957,Pontiac,"$58,995"
1957,Willys,"$38,995"
1958,Chevrolet,"$36,995"
1958,Chevrolet,"$29,995"
1958,Chevrolet,"$27,995"
1958,Chevrolet,"$43,995"
1958,Chevrolet,"$53,996"
1958,Chevrolet,"$62,995"
1958,Chevrolet,"$59,995"
1958,Chevrolet,"$36,995"
1958,Ford,"$74,995"
1958,Ford,"$24,995"
1959,Chevrolet,"$42,995"
1959,Dodge,"$54,995"
1959,Ford,"$21,995"
1959,Volkswagen,"$16,995"
1960,Austin Healey,"$31,995"
1960,Chevrolet,"$64,995"
1960,Chevrolet,"$122,995"
1960,Chevrolet,"$93,995"
1960,Chevrolet,"$30,995"
1960,Dodge,"$31,995"
1960,Ford,"$29,995"
1960,Morris,"$27,995"
1960,Pontiac,"$59,995"
1961,Chevrolet,"$20,995"
1961,Chevrolet,"$84,995"
1961,Ford,"$79,995"
1961,Nash,"$24,995"
1961,Pontiac,"$44,995"
1961,Toyota,"$24,995"
1961,Toyota,"$23,995"
1961,Volkswagen,"$23,995"
1962,Austin Healey,"$52,995"
1962,Chevrolet,"$69,995"
1962,Chevrolet,"$37,995"
1962,Chevrolet,"$44,995"
1962,Chevrolet,"$49,995"
1962,Chevrolet,"$34,995"
1962,Chevrolet,"$66,995"
1962,Chrysler,"$34,995"
1962,Dodge,"$71,995"
1962,Ford,"$25,995"
1962,Ford,"$52,995"
1962,Ford,"$22,995"
1962,Ford,"$41,995"
1962,Ford,"$22,995"
1962,Ford,"$32,995"
1962,Grumman,"$96,995"
1962,Oldsmobile,"$24,995"
1962,Plymouth,"$32,995"
1962,Pontiac,"$39,995"
1962,Porsche,"$89,995"
1963,Austin Healey,"$23,995"
1963,Buick,"$23,995"
1963,Chevrolet,"$64,995"
1963,Chevrolet,"$41,995"
1963,Chevrolet,"$44,995"
1963,Chevrolet,"$32,995"
1963,Chevrolet,"$31,995"
1963,Chevrolet,"$14,995"
1963,Chevrolet,"$43,995"
1963,Ford,"$44,995"
1963,Ford,"$33,995"
1963,Ford,"$31,995"
1963,Ford,"$33,995"
1963,Ford,"$41,995"
1963,GMC,"$37,995"
1963,Pontiac,"$42,995"
1963,Volkswagen,"$22,995"
1964,AMC,"$52,995"
1964,Buick,"$22,995"
1964,Buick,"$32,995"
1964,Buick,"$31,995"
1964,Chevrolet,"$44,995"
1964,Chevrolet,"$27,995"
1964,Chevrolet,"$52,995"
1964,Chevrolet,"$25,995"
1964,Chevrolet,"$44,995"
1964,Chevrolet,"$66,995"
1964,Chevrolet,"$69,995"
1964,Chevrolet,"$35,995"
1964,Chevrolet,"$79,995"
1964,Dodge,"$59,995"
1964,Dodge,"$34,995"
1964,Dodge,"$24,995"
1964,Dodge,"$29,995"
1964,Ford,"$34,995"
1964,Ford,"$22,995"
1964,Ford,"$20,995"
1964,Ford,"$57,995"
1964,Ford,"$24,995"
1964,Ford,"$34,995"
1964,Ford,"$31,995"
1964,Mercury,"$24,995"
1964,Oldsmobile,"$24,995"
1964,Plymouth,"$43,995"
1964,Plymouth,"$61,995"
1964,Pontiac,"$51,995"
1964,Pontiac,"$83,995"
1964,Pontiac,"$39,995"
1964 1/2,Ford,"$39,995"
1964 1/2,Ford,"$54,995"
1965,Buick,"$28,995"
1965,Chevrolet,"$35,995"
1965,Chevrolet,"$34,995"
1965,Chevrolet,"$34,995"
1965,Chevrolet,"$36,995"
1965,Chevrolet,"$39,995"
1965,Chevrolet,"$44,995"
1965,Chevrolet,"$49,995"
1965,Chevrolet,"$63,995"
1965,Chevrolet,"$47,995"
1965,Chevrolet,"$33,995"
1965,Chevrolet,"$22,995"
1965,Chevrolet,"$27,995"
1965,Chevrolet,"$36,995"
1965,Ford,"$19,995"
1965,Ford,"$22,995"
1965,Ford,"$32,995"
1965,Ford,"$22,995"
1965,Ford,"$45,995"
1965,Ford,"$60,995"
1965,Ford,"$33,995"
1965,Ford,"$65,995"
1965,Ford,"$28,995"
1965,Ford,"$28,995"
1965,Ford,"$33,995"
1965,Ford,"$27,995"
1965,Ford,"$37,995"
1965,Ford,"$26,995"
1965,Ford,"$31,995"
1965,Ford,"$32,995"
1965,Ford,"$31,995"
1965,Ford,"$52,995"
1965,Ford,"$34,995"
1965,Ford,"$44,995"
1965,Ford,"$31,995"
1965,Ford,"$28,995"
1965,Ford,"$44,995"
1965,Ford,"$34,995"
1965,Ford,"$32,995"
1965,Ford,"$87,995"
1965,Ford,"$69,995"
1965,Ford,"$32,995"
1965,Ford,"$46,995"
1965,Ford,"$31,995"
1965,Mercury,"$25,995"
1965,Mercury,"$39,995"
1965,Oldsmobile,"$27,995"
1965,Oldsmobile,"$39,995"
1965,Plymouth,"$17,995"
1965,Pontiac,"$62,995"
1965,Pontiac,"$37,995"
1965,Pontiac,"$49,995"
1965,Shelby,"$113,995"
1965,Shelby,"$66,995"
1965,Shelby,"$49,995"
1965,Shelby,"$59,995"
1965,Shelby,"$39,995"
1965,Shelby,"$67,995"
1965,Shelby,"$54,995"
1965,Shelby,"$99,995"
1965,Volkswagen,"$18,995"
1966,Buick,"$42,995"
1966,Buick,"$41,995"
1966,Cadillac,"$19,995"
1966,Chevrolet,"$37,995"
1966,Chevrolet,"$51,995"
1966,Chevrolet,"$35,995"
1966,Chevrolet,"$59,995"
1966,Chevrolet,"$39,995"
1966,Chevrolet,"$82,995"
1966,Chevrolet,"$34,995"
1966,Chevrolet,"$44,995"
1966,Chevrolet,"$58,995"
1966,Chevrolet,"$62,995"
1966,Chevrolet,"$24,995"
1966,Chevrolet,"$56,995"
1966,Chevrolet,"$64,995"
1966,Chevrolet,"$45,995"
1966,Chevrolet,"$26,995"
1966,Chevrolet,"$86,995"
1966,Chevrolet,"$69,995"
1966,Chevrolet,"$66,995"
1966,Chevrolet,"$109,995"
1966,Chevrolet,"$29,995"
1966,Chevrolet,"$39,995"
1966,Chevrolet,"$64,995"
1966,Chevrolet,"$72,995"
1966,Chevrolet,"$46,995"
1966,Chevrolet,"$53,995"
1966,Chevrolet,"$93,995"
1966,Ford,"$37,995"
1966,Ford,"$164,995"
1966,Ford,"$27,995"
1966,Ford,"$88,995"
1966,Ford,"$38,995"
1966,Ford,"$26,995"
1966,Ford,"$36,995"
1966,Ford,"$26,995"
1966,Ford,"$26,995"
1966,Ford,"$29,995"
1966,Ford,"$34,995"
1966,Ford,"$54,995"
1966,Ford,"$51,995"
1966,Ford,"$58,995"
1966,Ford,"$42,995"
1966,Ford,"$29,995"
1966,Ford,"$29,995"
1966,Ford,"$42,995"
1966,Ford,"$23,995"
1966,Ford,"$81,995"
1966,Ford,"$44,995"
1966,Ford,"$41,995"
1966,Ford,"$49,995"
1966,Ford,"$54,995"
1966,Ford,"$42,995"
1966,Ford,"$29,995"
1966,Ford,"$42,995"
1966,Ford,"$28,995"
1966,Ford,"$16,995"
1966,Ford,"$35,995"
1966,Ford,"$19,995"
1966,Mercedes-Benz,"$29,995"
1966,Oldsmobile,"$68,995"
1966,Oldsmobile,"$29,995"
1966,Plymouth,"$41,995"
1966,Shelby,"$59,995"
1966,Sunbeam,"$124,995"
1966,Sunbeam,"$59,995"
1966,Volkswagen,"$22,995"
1967,Austin Healey,"$59,995"
1967,Cadillac,"$29,995"
1967,Cadillac,"$38,995"
1967,Chevrolet,"$45,995"
1967,Chevrolet,"$52,995"
1967,Chevrolet,"$94,995"
1967,Chevrolet,"$27,995"
1967,Chevrolet,"$31,995"
1967,Chevrolet,"$49,995"
1967,Chevrolet,"$48,995"
1967,Chevrolet,"$55,995"
1967,Chevrolet,"$52,995"
1967,Chevrolet,"$58,995"
1967,Chevrolet,"$44,995"
1967,Chevrolet,"$54,995"
1967,Chevrolet,"$56,995"
1967,Chevrolet,"$69,995"
1967,Chevrolet,"$52,995"
1967,Chevrolet,"$59,995"
1967,Chevrolet,"$69,995"
1967,Chevrolet,"$64,995"
1967,Chevrolet,"$66,995"
1967,Chevrolet,"$51,995"
1967,Chevrolet,"$56,995"
1967,Chevrolet,"$59,995"
1967,Chevrolet,"$53,995"
1967,Chevrolet,"$54,995"
1967,Chevrolet,"$57,995"
1967,Chevrolet,"$41,995"
1967,Chevrolet,"$61,995"
1967,Chevrolet,"$89,995"
1967,Chevrolet,"$72,995"
1967,Chevrolet,"$72,995"
1967,Chevrolet,"$59,995"
1967,Chevrolet,"$65,995"
1967,Chevrolet,"$59,995"
1967,Chevrolet,"$68,995"
1967,Chevrolet,"$59,995"
1967,Chevrolet,"$114,995"
1967,Chevrolet,"$82,995"
1967,Chevrolet,"$148,995"
1967,Chevrolet,"$24,995"
1967,Chevrolet,"$24,995"
1967,Chevrolet,"$29,995"
