Description
"FRESH BUILD, 350 V8, 700R4 AUTO, A/C, PWR STEER/BRAKE, RUNS/DRIVES AMAZING, WOW!"
"SUPERCHRGED 6.0L LS V8 W/ GOODIES, 3-SPEED AUTO, SLICK PATINA LOOK, DRIVES GREAT"
"FRESHLY BUILT ALL-STEEL HOT ROD, 350 V8, 3-SPEED AUTO, 4-WHEEL PWR DISCS, CLEAN!"
"383 V8, TH350 3SPD AUTO, CUSTOM BUILD IN/OUT, RADICAL PAINT, CLEAN TOP-2-BOTTOM!"
"Description coming soon, call for details!"
"AWESOME CUSTOM BUILD! 5.9L INLINE 6 TURBO DIESEL! AUTO, A/C, PS, PDB, IMPRESSIVE"
"BEAUTIFUL CUSTOM BUILD! GM CRATE 350, 700R4 AUTO, A/C, PS/PDB, TCI CHASSIS, WOW!"
"DESIRABLE BODY STYLE, 350 V8, 5SPD TRANS, POWER STEERING/BRAKES, CLEAN IN & OUT!"
"DESIRABLE BODY STYLE, FLATHEAD 239 V8, 3SPD TRANS, GR8 COLOR COMBO & GOOD LOOKIN"
"350 V8, AUTOMATIC, KUSTOMS OF AMERICA AWARD CAR, GEORGE BARRIS, GORGEOUS BUILD!"
"429 V8, 3SPD AUTO, A/C, POWER STEERING/BRAKES, RUNS/DRIVES GR8, BEAUTIFUL RIDE!!"
"FUEL INJECTED 5.3 LITER LS POWER PLANT, AUTO TRANS, PWR STEER/FRNT DISC, NICE!!"
"AIR RIDE, 4.0L V8, 5SPD AUTO, PWR STEERING/BRAKES, RUNS/DRIVES WELL, CLASSY, WOW"
"FRAME OFF RESTORED, ZZ4 CRATE MOTOR, SUPER SLICK RED PAINT, GREAT INTERIOR, WOW!"
"TR-POWER CARB SETUP, 454V8, 6SPD MANUAL TRANS, A/C, POWER STEERING, DRIVES GR8!!"
"Description coming soon, call for details!"
"BEAUTIFUL FRAME OFF RESTORED, BUILT 350 V8, AUTO, A/C, PS/B W/ FRONT DISC, WOW!"
"FULL HEIDTS CHASSIS, IRS, LS2-SWAPPED V8, 4SPD AUTO, POWER STEERING/BRAKES, WOW!"
"NICELY RESTORED APACHE FLEETSIDE, 350 V8, 3-SPEED AUTO, PWR STEER/FRNT DISC!!!"
"226 INLINE-6, 3SPD TRANS, GR8 LOOKING, NICE COLOR COMBO, RUNS/DRIVES WELL, SHARP"
"GORGEOUS BUBBLE TOP IMPALA, STRONG 409 V8, 4-SPEED MANUAL, FRONT DISC, NICE!!!"
"HIGHLY DESIRABLE BODY STYLE, 430 V8, 3SPD AUTO, A/C, POWER STEERING/BRAKES, NICE"
"Description coming soon, call for details!"
"#'S MATCH 327CI FUELIE MOTOR, BOTH TOPS, NICELY RESTORED, 4-SPEED, 1 OF 1,918!"
"EXCEEDINGLY RARE REAL-DEAL GRAND SPORT! #18 OF 20, BUILT W/ 6.2L LS3, 5-SPD, WOW"
"WOW! 6.2L LS3 V8, TREMEC 6 SPEED, A/C, PS, PDB, AIR RIDE, RUNS & LOOKS AWESOME!"
"RECENTLY RESTORED, SUPERCHARGED 289 V8, 4SPD TRANS, PWR STEERING/BRAKES, SHARP!!"
"Description coming soon, call for details!"
"SUPER SHARP RESTORED C10, 930 MILES SINCE REBUILT, 327 V8, AUTO TRANS, MUST SEE!"
"Description coming soon, call for details!"
"BUILT 418 STROKER V8, 6 SPEED MANUAL, FUEL INJECTION, M3 SUSPENSION, AWESOME!"
